area,item,element,year,unit,value,flag
Eswatini,Maize (corn),Area harvested,2017,ha,67815,I
Eswatini,Maize (corn),Production,2017,t,84000,X
Eswatini,Maize (corn),Yield,2017,kg/ha,1238.7,E
Eswatini,Maize (corn),Area harvested,2018,ha,89051,I
Eswatini,Maize (corn),Production,2018,t,113000,X
Eswatini,Maize (corn),Yield,2018,kg/ha,1268.9,E
Eswatini,Maize (corn),Area harvested,2019,ha,74430,I
Eswatini,Maize (corn),Production,2019,t,95000,X
Eswatini,Maize (corn),Yield,2019,kg/ha,1276.4,E
Eswatini,Maize (corn),Area harvested,2020,ha,68000,X
Eswatini,Maize (corn),Production,2020,t,87000,X
Eswatini,Maize (corn),Yield,2020,kg/ha,1279.4,X
Eswatini,Maize (corn),Area harvested,2021,ha,70000,X
Eswatini,Maize (corn),Production,2021,t,100000,X
Eswatini,Maize (corn),Yield,2021,kg/ha,1428.6,X
Eswatini,Maize (corn),Area harvested,2022,ha,80000,X
Eswatini,Maize (corn),Production,2022,t,127000,X
Eswatini,Maize (corn),Yield,2022,kg/ha,1587.5,X
Lesotho,Maize (corn),Area harvested,1990,ha,155976,A
Lesotho,Maize (corn),Production,1990,t,171579,A
Lesotho,Maize (corn),Yield,1990,kg/ha,1100,A
Lesotho,Maize (corn),Area harvested,1991,ha,90461,A
Lesotho,Maize (corn),Production,1991,t,48918,A
Lesotho,Maize (corn),Yield,1991,kg/ha,540.8,A
Lesotho,Maize (corn),Area harvested,1992,ha,105454,A
Lesotho,Maize (corn),Production,1992,t,61074,A
Lesotho,Maize (corn),Yield,1992,kg/ha,579.2,A
Lesotho,Maize (corn),Area harvested,1993,ha,103437,A
Lesotho,Maize (corn),Production,1993,t,91805,A
Lesotho,Maize (corn),Yield,1993,kg/ha,887.5,A
Lesotho,Maize (corn),Area harvested,1994,ha,172743,A
Lesotho,Maize (corn),Production,1994,t,149063,A
Lesotho,Maize (corn),Yield,1994,kg/ha,862.9,A
Lesotho,Maize (corn),Area harvested,1995,ha,76955,A
Lesotho,Maize (corn),Production,1995,t,62531,A
Lesotho,Maize (corn),Yield,1995,kg/ha,812.6,A
Lesotho,Maize (corn),Area harvested,1996,ha,150908,A
Lesotho,Maize (corn),Production,1996,t,188489,A
Lesotho,Maize (corn),Yield,1996,kg/ha,1249,A
Lesotho,Maize (corn),Area harvested,1997,ha,144116,A
Lesotho,Maize (corn),Production,1997,t,142050,A
Lesotho,Maize (corn),Yield,1997,kg/ha,985.7,A
Lesotho,Maize (corn),Area harvested,1998,ha,90030,A
Lesotho,Maize (corn),Production,1998,t,118578,A
Lesotho,Maize (corn),Yield,1998,kg/ha,1317.1,A
Lesotho,Maize (corn),Area harvested,1999,ha,132360,A
Lesotho,Maize (corn),Production,1999,t,124549,A
Lesotho,Maize (corn),Yield,1999,kg/ha,941,A
Lesotho,Maize (corn),Area harvested,2000,ha,157680,A
Lesotho,Maize (corn),Production,2000,t,106800,A
Lesotho,Maize (corn),Yield,2000,kg/ha,677.3,A
Lesotho,Maize (corn),Area harvested,2001,ha,177485,A
Lesotho,Maize (corn),Production,2001,t,158190,A
Lesotho,Maize (corn),Yield,2001,kg/ha,891.3,A
Lesotho,Maize (corn),Area harvested,2002,ha,137380,A
Lesotho,Maize (corn),Production,2002,t,111110,A
Lesotho,Maize (corn),Yield,2002,kg/ha,808.8,A
Lesotho,Maize (corn),Area harvested,2003,ha,127470,A
Lesotho,Maize (corn),Production,2003,t,82080,A
Lesotho,Maize (corn),Yield,2003,kg/ha,643.9,A
Lesotho,Maize (corn),Area harvested,2004,ha,127620,A
Lesotho,Maize (corn),Production,2004,t,80996,A
Lesotho,Maize (corn),Yield,2004,kg/ha,634.7,A
Lesotho,Maize (corn),Area harvested,2005,ha,112302,A
Lesotho,Maize (corn),Production,2005,t,78739,A
Lesotho,Maize (corn),Yield,2005,kg/ha,701.1,A
Lesotho,Maize (corn),Area harvested,2006,ha,123508,A
Lesotho,Maize (corn),Production,2006,t,68762,A
Lesotho,Maize (corn),Yield,2006,kg/ha,556.7,A
Lesotho,Maize (corn),Area harvested,2007,ha,123661,A
Lesotho,Maize (corn),Production,2007,t,60312,A
Lesotho,Maize (corn),Yield,2007,kg/ha,487.7,A
Lesotho,Maize (corn),Area harvested,2008,ha,137156,A
Lesotho,Maize (corn),Production,2008,t,59651,A
Lesotho,Maize (corn),Yield,2008,kg/ha,434.9,A
Lesotho,Maize (corn),Area harvested,2009,ha,137366,A
Lesotho,Maize (corn),Production,2009,t,57126,A
Lesotho,Maize (corn),Yield,2009,kg/ha,415.9,A
Lesotho,Maize (corn),Area harvested,2010,ha,141340,A
Lesotho,Maize (corn),Production,2010,t,128213,A
Lesotho,Maize (corn),Yield,2010,kg/ha,907.1,A
Lesotho,Maize (corn),Area harvested,2011,ha,115688,A
Lesotho,Maize (corn),Production,2011,t,73390,A
Lesotho,Maize (corn),Yield,2011,kg/ha,634.4,A
Lesotho,Maize (corn),Area harvested,2012,ha,126854,I
Lesotho,Maize (corn),Production,2012,t,88186.69,I
Lesotho,Maize (corn),Yield,2012,kg/ha,695.2,E
Lesotho,Maize (corn),Area harvested,2013,ha,104926,A
Lesotho,Maize (corn),Production,2013,t,86325,A
