"artifact","topic","producer_step","state","current_sha256","last_checked_at","last_checked_by","last_changed_at","last_change_detected_by"
"results/tables/data-validation-results.csv","data-management","scripts/validate-data.R","present","c1020bdfd95dbe6f4b158fc24d704fdb9acc4158e2c859467c0e885e51a31fd0","2026-09-02T22:13:45+02:00","scripts/validate-data.R","2026-09-02T22:13:45+02:00","scripts/validate-data.R"
"reports/data-validation.html","data-management","reports/data-validation.qmd","present","21b2a406bac63c5f965b9f319c5ddfd29e2e0e84bcbac937ec08c69194e0dfe9","2026-09-02T22:14:00+02:00","reports/data-validation.qmd","2026-09-02T22:13:55+02:00","reports/data-validation.qmd"
"data/derived/maize-yield-with-precipitation.csv","data-integration","scripts/integrate-data.R","present","5cdc507b5f2b24ed20ac66006704d9e640c6414684878975485d6f1cf021a35b","2026-09-02T22:13:52+02:00","scripts/explain-maize-yield.R","2026-09-02T22:13:46+02:00","scripts/integrate-data.R"
"results/tables/data-integration-audit.csv","data-integration","scripts/integrate-data.R","present","9376d086c344e54a87e1b99114c4a6963e2bdc205ee973b7b2d236fd2e9d9ec3","2026-09-02T22:13:46+02:00","scripts/integrate-data.R","2026-09-02T22:13:46+02:00","scripts/integrate-data.R"
"reports/data-integration.html","data-integration","reports/data-integration.qmd","present","9a282537b3ddfecee4ae07b1b2fb13756006bfd8b0a4004ebd085bbfd204e4a4","2026-09-02T22:14:07+02:00","reports/data-integration.qmd","2026-09-02T22:14:00+02:00","reports/data-integration.qmd"
"data/derived/maize-yield-panel.csv","data-preparation","scripts/prepare-maize-data.R","present","87dd154f70bfa356b1c33df29a12341c9a017930801f99d39ed334573279bd5a","2026-09-02T22:13:53+02:00","scripts/predict-maize-yield.R","2026-09-02T22:13:45+02:00","scripts/prepare-maize-data.R"
"results/tables/data-preparation-audit.csv","data-preparation","scripts/prepare-maize-data.R","present","f25973923262de451b717fa99cebc2557945d440d69046904a6205d97060595b","2026-09-02T22:13:46+02:00","scripts/prepare-maize-data.R","2026-09-02T22:13:45+02:00","scripts/prepare-maize-data.R"
"figures/growing-season-precipitation-distribution-by-country.png","data-visualization","scripts/visualize-maize-data.R","present","8b3d8de0a10d216097e09dd7b45d936a9840a623ffbe254526aff404617d4c83","2026-09-02T22:13:52+02:00","scripts/visualize-maize-data.R","2026-09-02T22:13:46+02:00","scripts/visualize-maize-data.R"
"figures/growing-season-precipitation-trends.png","data-visualization","scripts/visualize-maize-data.R","present","bd1a2537a0c1c10ac0b55f6496439b0d2e9b0f06d8a96d9928cb47f39fc2ee1e","2026-09-02T22:13:52+02:00","scripts/visualize-maize-data.R","2026-09-02T22:13:46+02:00","scripts/visualize-maize-data.R"
"figures/maize-yield-distribution-by-country.png","data-visualization","scripts/visualize-maize-data.R","present","989d071391a561495a2c3fcd50a11aafb426526e7cc30fa52a9765e832e4a2a7","2026-09-02T22:13:52+02:00","scripts/visualize-maize-data.R","2026-09-02T22:13:46+02:00","scripts/visualize-maize-data.R"
"figures/maize-yield-distribution.png","data-visualization","scripts/visualize-maize-data.R","present","469555dacad8f8d8b141406ba9b1d877905928b525c454f56294fef1cb0db858","2026-09-02T22:13:52+02:00","scripts/visualize-maize-data.R","2026-09-02T22:13:46+02:00","scripts/visualize-maize-data.R"
"figures/maize-yield-trends.png","data-visualization","scripts/visualize-maize-data.R","present","5ab7a5d970c130118d709dc312f335b137d77a2c19152ca26c53a83d011063d1","2026-09-02T22:13:52+02:00","scripts/visualize-maize-data.R","2026-09-02T22:13:46+02:00","scripts/visualize-maize-data.R"
"figures/yield-versus-precipitation.png","data-visualization","scripts/visualize-maize-data.R","present","4db971fc0969e25b345ebcfd08671da81c482e9877ab91dea3487087152d9729","2026-09-02T22:13:52+02:00","scripts/visualize-maize-data.R","2026-09-02T22:13:46+02:00","scripts/visualize-maize-data.R"
